Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You like to use organizing tools like schedules and lists.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,You enjoy participating in group activities.,You like books and movies that make you come up with your own interpretation of the ending.,You are interested in so many things that you find it difficult to choose what to try next.,You are prone to worrying that things will take a turn for the worse.,You enjoy watching people argue.,You tend to avoid drawing attention to yourself.,Your mood can change very quickly.,You often end up doing things at the last possible moment.,You usually prefer to be around others rather than on your own.,You often have a hard time understanding other people’s feelings.,You like to have a to-do list for each day.,You rarely feel insecure.,You avoid making phone calls.,You often spend a lot of time trying to understand views that are very different from your own.,"In your social circle, you are often the one who contacts your friends and initiates activities.",You are still bothered by mistakes that you made a long time ago.,Your emotions control you more than you control them.,Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,You would pass along a good opportunity if you thought someone else needed it more.,You feel confident that things will work out for you.,Personality
0,0,0,1,1,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,-1,1,-1,0,0,1,-1,0,0,0,0,ENFP
-2,-3,-1,2,-2,3,-2,-2,1,1,-2,-2,0,3,1,-2,-2,-2,2,2,1,-1,-1,2,-1,2,1,1,-1,3,ISFP
2,0,-1,2,0,1,0,-1,0,0,2,0,-1,0,2,-1,-1,-1,0,0,1,2,1,-2,-2,-3,-3,-1,1,1,INFJ
3,-1,0,0,-2,-2,2,-1,1,-1,-2,-1,2,1,0,2,0,-2,0,3,2,0,2,0,0,0,-2,-1,0,-1,ISTP
-1,0,2,-1,-2,1,0,-1,0,-1,-2,2,1,2,-1,2,-1,0,3,-1,2,-2,-1,-1,3,-2,-1,-1,-1,-1,ENFJ
1,0,1,-2,-1,2,1,-1,1,3,-2,2,-1,2,-2,0,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,0,2,2,1,INTJ
-2,0,-1,1,-2,1,-1,-1,1,0,-1,-3,0,1,2,0,-2,-1,-1,0,1,-1,1,0,0,2,1,1,-1,1,ISFP
-3,0,-1,0,-2,0,0,0,-1,-1,-2,-1,0,0,0,0,2,-2,1,-2,1,-1,2,1,0,0,-1,3,-1,-1,INTJ
-2,1,-2,1,-1,2,-1,-2,-2,0,-1,1,0,-2,-3,1,1,1,1,-1,1,2,2,-1,-3,1,1,0,3,-2,ENTJ
0,0,-1,2,1,-2,2,0,2,2,0,0,1,0,3,-2,0,2,1,2,1,-1,2,-1,2,-1,-1,-1,1,1,ESFP
